"No.","Time","Source","Destination","Protocol","Length","Info"
"20","2.631279","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=549 Ack=3408 Win=261376 Len=0"
"21","2.635144","10.12.19.101","47.241.19.44","TLSv1.2","357","Application Data"
"22","2.666925","47.241.19.44","10.12.19.101","TCP","54","443  >  49738 [ACK] Seq=3408 Ack=852 Win=58880 Len=0"
"23","2.900137","10.12.19.101","10.12.19.1","DNS","90","Standard query 0x7437 A self.events.data.microsoft.com"
"24","2.961028","10.12.19.1","10.12.19.101","DNS","199","Standard query response 0x7437 A self.events.data.microsoft.com CNAME self-events-data.trafficmanager.net CNAME skypedataprdcoljpe04.cloudapp.net A 52.114.32.24"
"25","2.962447","10.12.19.101","52.114.32.24","TCP","66","49739  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"26","3.139063","52.114.32.24","10.12.19.101","TCP","66","443  >  49739 [SYN, ACK] Seq=0 Ack=1 Win=55520 Len=0 MSS=1388 SACK_PERM=1 WS=256"
"27","3.139581","10.12.19.101","52.114.32.24","TCP","54","49739  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"28","3.140183","10.12.19.101","52.114.32.24","TLSv1.2","242","Client Hello"
"29","3.168696","52.114.32.24","10.12.19.101","TCP","54","443  >  49739 [ACK] Seq=1 Ack=189 Win=56832 Len=0"
"30","3.324403","52.114.32.24","10.12.19.101","TCP","1442","443  >  49739 [ACK] Seq=1 Ack=189 Win=56832 Len=1388 [TCP segment of a reassembled PDU]"
"31","3.324621","52.114.32.24","10.12.19.101","TCP","1442","443  >  49739 [ACK] Seq=1389 Ack=189 Win=56832 Len=1388 [TCP segment of a reassembled PDU]"
"32","3.324803","52.114.32.24","10.12.19.101","TCP","1442","443  >  49739 [ACK] Seq=2777 Ack=189 Win=56832 Len=1388 [TCP segment of a reassembled PDU]"
"33","3.324820","52.114.32.24","10.12.19.101","TLSv1.2","423","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"34","3.325065","10.12.19.101","52.114.32.24","TCP","54","49739  >  443 [ACK] Seq=189 Ack=1389 Win=262144 Len=0"
"35","3.326266","10.12.19.101","52.114.32.24","TCP","54","49739  >  443 [ACK] Seq=189 Ack=4534 Win=262144 Len=0"
"36","3.334831","10.12.19.101","52.114.32.24","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"37","3.376968","52.114.32.24","10.12.19.101","TCP","54","443  >  49739 [ACK] Seq=4534 Ack=347 Win=57856 Len=0"
"38","3.509683","47.241.19.44","10.12.19.101","TCP","1430","443  >  49738 [PSH, ACK] Seq=3408 Ack=852 Win=58880 Len=1376 [TCP segment of a reassembled PDU]"
"39","3.509908","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=4784 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"40","3.510055","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=6172 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"41","3.510197","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=7560 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"42","3.510292","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=8948 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"43","3.510763","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=4784 Win=262144 Len=0"
"44","3.511195","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=10336 Win=262144 Len=0"
"45","3.520984","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=10336 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"46","3.521002","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=11724 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"47","3.521237","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=13112 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"48","3.521334","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=14500 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"49","3.521594","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=13112 Win=262144 Len=0"
"50","3.521829","52.114.32.24","10.12.19.101","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"51","3.522909","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=15888 Win=262144 Len=0"
"52","3.522970","10.12.19.101","52.114.32.24","TCP","54","49739  >  443 [ACK] Seq=347 Ack=4585 Win=261888 Len=0"
"53","3.524725","10.12.19.101","52.114.32.24","TLSv1.2","1287","Application Data"
"54","3.524799","10.12.19.101","52.114.32.24","TCP","1442","49739  >  443 [ACK] Seq=1580 Ack=4585 Win=261888 Len=1388 [TCP segment of a reassembled PDU]"
"55","3.524813","10.12.19.101","52.114.32.24","TCP","1442","49739  >  443 [ACK] Seq=2968 Ack=4585 Win=261888 Len=1388 [TCP segment of a reassembled PDU]"
"56","3.524858","10.12.19.101","52.114.32.24","TCP","1442","49739  >  443 [ACK] Seq=4356 Ack=4585 Win=261888 Len=1388 [TCP segment of a reassembled PDU]"
"57","3.524884","10.12.19.101","52.114.32.24","TCP","1442","49739  >  443 [ACK] Seq=5744 Ack=4585 Win=261888 Len=1388 [TCP segment of a reassembled PDU]"
"58","3.524894","10.12.19.101","52.114.32.24","TCP","1442","49739  >  443 [ACK] Seq=7132 Ack=4585 Win=261888 Len=1388 [TCP segment of a reassembled PDU]"
"59","3.524902","10.12.19.101","52.114.32.24","TCP","1442","49739  >  443 [ACK] Seq=8520 Ack=4585 Win=261888 Len=1388 [TCP segment of a reassembled PDU]"
"60","3.524908","10.12.19.101","52.114.32.24","TCP","1442","49739  >  443 [ACK] Seq=9908 Ack=4585 Win=261888 Len=1388 [TCP segment of a reassembled PDU]"
"61","3.524917","10.12.19.101","52.114.32.24","TLSv1.2","159","Application Data"
"62","3.535116","47.241.19.44","10.12.19.101","TCP","606","443  >  49738 [PSH, ACK] Seq=15888 Ack=852 Win=58880 Len=552 [TCP segment of a reassembled PDU]"
"63","3.535680","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=16440 Win=261376 Len=0"
"64","3.554869","52.114.32.24","10.12.19.101","TCP","54","443  >  49739 [ACK] Seq=4585 Ack=1580 Win=60160 Len=0"
"65","3.555108","52.114.32.24","10.12.19.101","TCP","54","443  >  49739 [ACK] Seq=4585 Ack=2968 Win=62976 Len=0"
"66","3.555117","52.114.32.24","10.12.19.101","TCP","54","443  >  49739 [ACK] Seq=4585 Ack=4356 Win=65792 Len=0"
"67","3.558623","52.114.32.24","10.12.19.101","TCP","54","443  >  49739 [ACK] Seq=4585 Ack=5744 Win=68608 Len=0"
"68","3.560098","52.114.32.24","10.12.19.101","TCP","54","443  >  49739 [ACK] Seq=4585 Ack=7132 Win=71424 Len=0"
"69","3.560106","52.114.32.24","10.12.19.101","TCP","54","443  >  49739 [ACK] Seq=4585 Ack=8520 Win=74240 Len=0"
"70","3.560110","52.114.32.24","10.12.19.101","TCP","54","443  >  49739 [ACK] Seq=4585 Ack=9908 Win=76800 Len=0"
"71","3.560115","52.114.32.24","10.12.19.101","TCP","54","443  >  49739 [ACK] Seq=4585 Ack=11296 Win=79616 Len=0"
"72","3.560118","52.114.32.24","10.12.19.101","TCP","54","443  >  49739 [ACK] Seq=4585 Ack=11401 Win=79616 Len=0"
"73","3.725897","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=16440 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"74","3.726467","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=17828 Win=262144 Len=0"
"75","3.729074","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=17828 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"76","3.729365","47.241.19.44","10.12.19.101","TLSv1.2","1442","Application Data [TCP segment of a reassembled PDU]"
"77","3.729503","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=20604 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"78","3.729679","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=19216 Win=262144 Len=0"
"79","3.729771","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=21992 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"80","3.729788","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=23380 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"81","3.730049","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=24768 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"82","3.730776","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=26156 Win=262144 Len=0"
"83","3.738015","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=26156 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"84","3.738200","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=27544 Win=262144 Len=0"
"85","3.738292","47.241.19.44","10.12.19.101","TCP","1334","443  >  49738 [PSH, ACK] Seq=27544 Ack=852 Win=58880 Len=1280 [TCP segment of a reassembled PDU]"
"86","3.738561","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=28824 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"87","3.738691","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=30212 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"88","3.739571","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=31600 Win=262144 Len=0"
"89","3.767338","47.241.19.44","10.12.19.101","TCP","822","443  >  49738 [PSH, ACK] Seq=31600 Ack=852 Win=58880 Len=768 [TCP segment of a reassembled PDU]"
"90","3.767894","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=32368 Win=261376 Len=0"
"91","3.785764","52.114.32.24","10.12.19.101","TLSv1.2","413","Application Data"
"92","3.786023","10.12.19.101","52.114.32.24","TCP","54","49739  >  443 [ACK] Seq=11401 Ack=4944 Win=261632 Len=0"
"93","3.905221","47.241.19.44","10.12.19.101","TCP","1430","443  >  49738 [PSH, ACK] Seq=32368 Ack=852 Win=58880 Len=1376 [TCP segment of a reassembled PDU]"
"94","3.905460","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=33744 Win=262144 Len=0"
"95","3.905552","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=33744 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"96","3.905633","47.241.19.44","10.12.19.101","TLSv1.2","1442","Application Data [TCP segment of a reassembled PDU]"
"97","3.905868","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=36520 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"98","3.906463","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=37908 Win=262144 Len=0"
"99","3.914183","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=37908 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"100","3.914422","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=39296 Win=262144 Len=0"
"101","3.914520","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=39296 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"102","3.914674","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=40684 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"103","3.915603","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=42072 Win=262144 Len=0"
"104","3.930501","47.241.19.44","10.12.19.101","TCP","1358","443  >  49738 [PSH, ACK] Seq=42072 Ack=852 Win=58880 Len=1304 [TCP segment of a reassembled PDU]"
"105","3.930921","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=43376 Win=260608 Len=0"
"106","3.953209","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=43376 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"107","3.953451","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=44764 Win=262144 Len=0"
"108","3.953561","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=44764 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"109","3.953615","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=46152 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"110","3.953845","47.241.19.44","10.12.19.101","TCP","810","443  >  49738 [PSH, ACK] Seq=47540 Ack=852 Win=58880 Len=756 [TCP segment of a reassembled PDU]"
"111","3.954734","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=48296 Win=262144 Len=0"
"112","4.103150","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=48296 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"113","4.103463","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=49684 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"114","4.103660","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=51072 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"115","4.103681","47.241.19.44","10.12.19.101","TLSv1.2","1442","Application Data [TCP segment of a reassembled PDU]"
"116","4.103705","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=49684 Win=262144 Len=0"
"117","4.103911","47.241.19.44","10.12.19.101","TCP","1382","443  >  49738 [PSH, ACK] Seq=53848 Ack=852 Win=58880 Len=1328 [TCP segment of a reassembled PDU]"
"118","4.103967","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=55176 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"119","4.104210","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=56564 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"120","4.104276","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=57952 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"121","4.104649","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=59340 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"122","4.104674","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=60728 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"123","4.104700","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=59340 Win=262144 Len=0"
"124","4.105686","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=62116 Win=262144 Len=0"
"125","4.141071","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=62116 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"126","4.141080","47.241.19.44","10.12.19.101","TCP","774","443  >  49738 [PSH, ACK] Seq=63504 Ack=852 Win=58880 Len=720 [TCP segment of a reassembled PDU]"
"127","4.141268","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=64224 Win=262144 Len=0"
"128","4.307259","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=64224 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"129","4.307480","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=65612 Win=262144 Len=0"
"130","4.307564","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=65612 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"131","4.307596","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=67000 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"132","4.307697","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=68388 Win=262144 Len=0"
"133","4.307835","47.241.19.44","10.12.19.101","TLSv1.2","1442","Application Data [TCP segment of a reassembled PDU]"
"134","4.307911","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=69776 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"135","4.308087","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=71164 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"136","4.308300","47.241.19.44","10.12.19.101","TCP","1358","443  >  49738 [PSH, ACK] Seq=72552 Ack=852 Win=58880 Len=1304 [TCP segment of a reassembled PDU]"
"137","4.308560","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=73856 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"138","4.308565","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=75244 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"139","4.308767","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=76632 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"140","4.308783","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=76632 Win=262144 Len=0"
"141","4.308973","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=78020 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"142","4.309795","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=79408 Win=262144 Len=0"
"143","4.310883","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=79408 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"144","4.311009","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=80796 Win=262144 Len=0"
"145","4.336955","47.241.19.44","10.12.19.101","TCP","858","443  >  49738 [PSH, ACK] Seq=80796 Ack=852 Win=58880 Len=804 [TCP segment of a reassembled PDU]"
"146","4.337172","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=81600 Win=261120 Len=0"
"147","4.498141","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=81600 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"148","4.498396","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=82988 Win=262144 Len=0"
"149","4.498498","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=82988 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"150","4.499437","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=84376 Win=262144 Len=0"
"151","4.501628","47.241.19.44","10.12.19.101","TLSv1.2","1442","Application Data [TCP segment of a reassembled PDU]"
"152","4.501768","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=85764 Win=262144 Len=0"
"153","4.501994","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=85764 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"154","4.502163","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=87152 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"155","4.502271","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=88540 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"156","4.502513","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=89928 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"157","4.502662","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=91316 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"158","4.502858","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=92704 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"159","4.502864","47.241.19.44","10.12.19.101","TCP","594","443  >  49738 [PSH, ACK] Seq=94092 Ack=852 Win=58880 Len=540 [TCP segment of a reassembled PDU]"
"160","4.503005","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=94632 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"161","4.503028","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=94632 Win=262144 Len=0"
"162","4.504025","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=96020 Win=262144 Len=0"
"163","4.504225","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=96020 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"164","4.505225","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=97408 Win=262144 Len=0"
"165","4.505765","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=97408 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"166","4.506493","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=98796 Win=262144 Len=0"
"167","4.525809","47.241.19.44","10.12.19.101","TCP","234","443  >  49738 [PSH, ACK] Seq=98796 Ack=852 Win=58880 Len=180 [TCP segment of a reassembled PDU]"
"168","4.525987","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=98976 Win=261888 Len=0"
"169","4.698204","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=98976 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"170","4.698669","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=100364 Win=262144 Len=0"
"171","4.700707","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=100364 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"172","4.700824","47.241.19.44","10.12.19.101","TLSv1.2","1442","Application Data [TCP segment of a reassembled PDU]"
"173","4.700912","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=101752 Win=262144 Len=0"
"174","4.700999","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=103140 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"175","4.701074","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=104528 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"176","4.701295","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=105916 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"177","4.701505","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=107304 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"178","4.701809","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=108692 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"179","4.701816","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=110080 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"180","4.701977","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=111468 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"181","4.702066","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=852 Ack=111468 Win=262144 Len=0"
"182","4.702165","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=112856 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"183","4.702316","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=114244 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"184","4.702474","47.241.19.44","10.12.19.101","TCP","1442","443  >  49738 [ACK] Seq=115632 Ack=852 Win=58880 Len=1388 [TCP segment of a reassembled PDU]"
"185","4.703064","47.241.19.44","10.12.19.101","TCP","834","443  >  49738 [PSH, ACK] Seq=117020 Ack=852 Win=58880 Len=780 [TCP segment of a reassembled PDU]"
